#,Category,Capability,Echelon (v0.1),CrewAI,Hatz AI,Alignment,Effort,Recommendation / Notes
1,Orchestration & Execution,Multi-agent orchestration paradigm,Seasons of themed characters cast from 43 archetypes; orchestrator MCP + super-agent delegates work.,Two models: 'Crews' (autonomous role-based teams) and 'Flows' (deterministic event-driven workflows). Industry-leading clarity.,"Workflows + agents + AI apps built no-code; multi-department orchestration, voice agents.",STRENGTH,—,Echelon's roster/season model is strong & distinctive. Borrow CrewAI's explicit Crews-vs-Flows split as a mental model.
2,Orchestration & Execution,Deterministic workflow engine (Flows-equivalent),No first-class deterministic workflow DSL; automations + kanban auto-spawn are ad-hoc.,"Flows: @start/@listen/@router/@persist, Pydantic-typed state, or_/and_ combinators, resume & fork, plot() viz.",Step-based workflows; re-run from any step; post-call workflow chains.,GAP,L,"HIGH VALUE. A typed, inspectable workflow layer above seasons would make orchestration deterministic & debuggable. Model on CrewAI Flows."
3,Orchestration & Execution,Hierarchical / manager delegation,Super-agent orchestrator + convener per theme; delegate_task primitive.,"Hierarchical process with manager_llm — but this is CrewAI's MOST-criticized feature (poor coordination, token waste, delegation bugs).",Multi-department orchestration (managed).,STRENGTH,—,Echelon's convener/counselor escalation is arguably cleaner than CrewAI's flaky manager. Avoid CrewAI's mistakes here.
4,Orchestration & Execution,Parallel execution / isolation,Git worktree-per-agent; multi-season isolation; 10+ concurrent agents.,async_execution on tasks; no built-in worktree/workspace isolation.,Tenant/org/user logical isolation (SaaS).,UNIQUE,—,Worktree-per-agent isolation is an Echelon strength neither competitor matches. Protect & market it.
5,Orchestration & Execution,Event-driven triggers / automations,"Automation engine polls GitHub, JIRA; stubbed Pipedrive/Twitter/RSS; spawns disposable agents.",Flows event model; webhook streaming of events (AMP).,Zapier / Make / n8n bridges; native triggers across 40+ integrations.,STRENGTH,M,Echelon already has this. Add Zapier/Make/n8n bridges (Hatz pattern) to widen trigger surface cheaply.
6,Orchestration & Execution,Scheduling (cron),Scheduler with cron CRUD + logs + watch (mature).,AMP cron scheduling in control plane.,Scheduled/recurring workflows.,STRENGTH,—,At parity. No action.
7,Orchestration & Execution,Task board / kanban,@dnd-kit kanban with agent auto-sync & auto-spawn on 'planned'.,No native board (tasks are code).,Workflow/queue views.,UNIQUE,—,Echelon-unique visual task→agent binding. Keep; add debounce (known bug).
8,Agent Definition & Personas,Declarative agent config,YAML archetypes + 5-7 file soul packages (SOUL/AGENTS/HEARTBEAT/MEMORY/persona); schema-validated.,YAML agents.yaml/tasks.yaml + @CrewBase wiring; {var} interpolation.,No-code app builder; prompt/templates.,STRENGTH,—,Echelon's soul-package model is richer than CrewAI's role/goal/backstory. Strength.
9,Agent Definition & Personas,Persona / character identity,"Themed recognizable characters (TBBT, Young Sheldon) with voice, mannerisms, guardrails.",Flat role/goal/backstory strings.,Generic branded assistants.,UNIQUE,—,Signature Echelon differentiator. Neither competitor has relatable character UX.
10,Agent Definition & Personas,Role/archetype library,"43 archetypes, tiered (medium/large/enterprise) for auto-roster sizing.",Users define roles ad-hoc; blueprints in AMP Discovery.,Pre-built workflow/app templates.,STRENGTH,—,Strong. Consider publishing as shareable blueprints (see Templates row).
11,Agent Definition & Personas,PRD → roster composition,roster-composer parses a PRD and selects/sizes the team automatically.,Crew Studio: NL prompt → crew in <60s; Discovery suggests blueprints.,NL app builder.,STRENGTH,M,Echelon's PRD→roster is unique & valuable. Add CrewAI-style NL conversational refinement on top.
12,Memory & Knowledge,Cross-session memory,MEMORY.seed.md drifts at runtime; mempalace KB; auto-memory MEMORY.md.,"Unified Memory class: hierarchical scopes, recency/semantic/importance weighting, consolidation dedup.",Memory-based RAG; auto-vectorize over-context files.,DIFFERENT,L,"Borrow CrewAI's weighted/scoped memory math (recency_half_life, importance) to upgrade Echelon's KB ranking."
13,Memory & Knowledge,Knowledge base / RAG,mempalace-backed KB (LOCAL solo mode v0.1); kb query/write; promote-skill deferred to v0.5.,"Knowledge sources (PDF/CSV/Excel/JSON/web), ChromaDB/Qdrant, query rewriting, score thresholds.",Pinecone + Snowflake Cortex; 60+ file types; audio; auto-vectorization.,PARTIAL,L,Echelon KB is local-only & partly stubbed. Add multi-format ingestion (CrewAI source classes) + query rewriting.
